year,winner,loser
2010,Arkansas-Pine Bluff ,Winthrop
2010,Kansas,Lehigh
2010,Northern Iowa,UNLV
2010,Michigan State,New Mexico State
2010,Maryland,Houston
2010,Tennessee,San Diego State
2010,Ohio,Georgetown
2010,Georgia Tech,Oklahoma State
2010,Ohio State,UC Santa Barbara
2010,Northern Iowa,Kansas
2010,Michigan State,Maryland
2010,Tennessee,Ohio
2010,Ohio State,Georgia Tech
2010,Michigan State,Northern Iowa
2010,Tennessee,Ohio State
2010,Michigan State,Tennessee
2010,Syracuse,Vermont
2010,Gonzaga,Florida State
2010,Butler,UTEP
2010,Murray State,Vanderbilt
2010,Xavier,Minnesota
2010,Pittsburgh,Oakland
2010,Brigham Young,Florida
2010,Kansas State,North Texas
2010,Syracuse,Gonzaga
2010,Butler,Murray State
2010,Xavier,Pittsburgh
2010,Kansas State,Brigham Young
2010,Butler,Syracuse
2010,Kansas State,Xavier
2010,Butler,Kansas State
2010,Kentucky,East Tennessee State
2010,Wake Forest,Texas
2010,Cornell,Temple
2010,Wisconsin,Wofford
2010,Washington,Marquette
2010,New Mexico,Montana
2010,Missouri,Clemson
2010,West Virginia,Morgan State
2010,Kentucky,Wake Forest
2010,Cornell,Wisconsin
2010,Washington,New Mexico
2010,West Virginia,Missouri
2010,Kentucky,Cornell
2010,West Virginia,Washington
2010,West Virginia,Kentucky
2010,Duke,Arkansas-Pine Bluff 
2010,California,Louisville
2010,Texas A&M,Utah State
2010,Purdue,Siena
2010,Old Dominion,Notre Dame
2010,Baylor,Sam Houston State
2010,Saint Mary's,Richmond
2010,Villanova,Robert Morris
2010,Duke,California
2010,Purdue,Texas A&M
2010,Baylor,Old Dominion
2010,Saint Mary's,Villanova
2010,Duke,Purdue
2010,Baylor,Saint Mary's
2010,Duke,Baylor
2010,Butler,Michigan State
2010,Duke,West Virginia
2010,Duke,Butler
