year,team0,team1,seed,wins,losses,winp,cwins,closses,cwinp,pts,ptspg,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,orb,orbpg,drb,drbpg,reb,rebpg,ast,astpg,stl,stlpg,blk,blkpg,tov,tovpg,pf,pfpg,result
2003,Kentucky,IUPUI,-15,7,-8,0.238,6,-4,0.28600000000000003,122.0,6.0460000000000065,100.0,74.0,0.035999999999999976,-22.0,-79.0,0.010000000000000009,-56.0,-86.0,0.007000000000000006,38.0,1.5109999999999992,55.0,2.347999999999999,95.0,3.9209999999999994,79.0,2.886000000000001,-34.0,-0.7949999999999999,106.0,3.3699999999999997,-71.0,-1.7279999999999998,-84.0,-2.0180000000000007,0
2003,IUPUI,Kentucky,15,-7,8,-0.238,-6,4,-0.28600000000000003,-122.0,-6.0460000000000065,-100.0,-74.0,-0.035999999999999976,22.0,79.0,-0.010000000000000009,56.0,86.0,-0.007000000000000006,-38.0,-1.5109999999999992,-55.0,-2.347999999999999,-95.0,-3.9209999999999994,-79.0,-2.886000000000001,34.0,0.7949999999999999,-106.0,-3.3699999999999997,71.0,1.7279999999999998,84.0,2.0180000000000007,1
2003,Utah,Oregon,1,3,-4,0.1180000000000001,1,-5,0.22999999999999998,-554.0,-15.218999999999994,-195.0,-414.0,-0.0020000000000000018,-65.0,-153.0,-0.008000000000000007,-99.0,-75.0,-0.07000000000000006,-61.0,-1.636000000000001,-48.0,-0.8099999999999987,-110.0,-2.478999999999999,-148.0,-4.211000000000002,-108.0,-3.2250000000000005,29.0,1.025,-100.0,-2.7379999999999995,-53.0,-1.0340000000000025,0
2003,Oregon,Utah,-1,-3,4,-0.1180000000000001,-1,5,-0.22999999999999998,554.0,15.218999999999994,195.0,414.0,0.0020000000000000018,65.0,153.0,0.008000000000000007,99.0,75.0,0.07000000000000006,61.0,1.636000000000001,48.0,0.8099999999999987,110.0,2.478999999999999,148.0,4.211000000000002,108.0,3.2250000000000005,-29.0,-1.025,100.0,2.7379999999999995,53.0,1.0340000000000025,1
2003,Wisconsin,Weber State,-7,-4,2,-0.07999999999999996,-2,4,-0.25,-260.0,-3.823999999999998,-45.0,-66.0,-0.007999999999999952,-1.0,-48.0,0.02899999999999997,-169.0,-226.0,-0.0020000000000000018,-38.0,-0.6180000000000003,-57.0,-0.4510000000000005,-95.0,-1.068999999999999,-55.0,-0.918000000000001,-4.0,0.3230000000000004,58.0,2.054,-88.0,-2.164999999999999,-151.0,-3.9140000000000015,0
2003,Weber State,Wisconsin,7,4,-2,0.07999999999999996,2,-4,0.25,260.0,3.823999999999998,45.0,66.0,0.007999999999999952,1.0,48.0,-0.02899999999999997,169.0,226.0,0.0020000000000000018,38.0,0.6180000000000003,57.0,0.4510000000000005,95.0,1.068999999999999,55.0,0.918000000000001,4.0,-0.3230000000000004,-58.0,-2.054,88.0,2.164999999999999,151.0,3.9140000000000015,1
2003,Tulsa,Dayton,9,0,2,-0.051000000000000045,-1,4,-0.19999999999999996,168.0,0.722999999999999,108.0,196.0,0.01100000000000001,-12.0,-37.0,0.0030000000000000027,-36.0,-60.0,0.01100000000000001,-42.0,-2.1529999999999987,139.0,3.0380000000000003,98.0,0.9170000000000016,17.0,-0.4330000000000016,79.0,2.202000000000001,70.0,2.069,65.0,1.2559999999999985,26.0,-0.2959999999999994,0
2003,Dayton,Tulsa,-9,0,-2,0.051000000000000045,1,-4,0.19999999999999996,-168.0,-0.722999999999999,-108.0,-196.0,-0.01100000000000001,12.0,37.0,-0.0030000000000000027,36.0,60.0,-0.01100000000000001,42.0,2.1529999999999987,-139.0,-3.0380000000000003,-98.0,-0.9170000000000016,-17.0,0.4330000000000016,-79.0,-2.202000000000001,-70.0,-2.069,-65.0,-1.2559999999999985,-26.0,0.2959999999999994,1
2003,Missouri,Southern Illinois,-5,-3,4,-0.123,-7,5,-0.32699999999999996,-13.0,-2.8230000000000075,-11.0,98.0,-0.030999999999999972,49.0,176.0,-0.029000000000000026,-40.0,-19.0,-0.04699999999999993,96.0,2.780999999999999,114.0,2.990000000000002,210.0,5.77,19.0,0.1750000000000007,-62.0,-2.2569999999999997,38.0,1.1230000000000002,41.0,0.9190000000000005,-57.0,-2.4619999999999997,0
2003,Southern Illinois,Missouri,5,3,-4,0.123,7,-5,0.32699999999999996,13.0,2.8230000000000075,11.0,-98.0,0.030999999999999972,-49.0,-176.0,0.029000000000000026,40.0,19.0,0.04699999999999993,-96.0,-2.780999999999999,-114.0,-2.990000000000002,-210.0,-5.77,-19.0,-0.1750000000000007,62.0,2.2569999999999997,-38.0,-1.1230000000000002,-41.0,-0.9190000000000005,57.0,2.4619999999999997,1
2003,Marquette,Holy Cross,-11,-1,-1,0.026000000000000023,1,1,-0.05400000000000005,83.0,7.992999999999995,27.0,-14.0,0.020999999999999963,-3.0,-27.0,0.016000000000000014,32.0,-9.0,0.05800000000000005,9.0,1.1029999999999998,-52.0,-0.20300000000000296,-43.0,0.8999999999999986,-17.0,0.5210000000000008,-74.0,-2.067,-35.0,-0.9209999999999998,-34.0,-0.2530000000000001,-36.0,0.03999999999999915,0
2003,Holy Cross,Marquette,11,1,1,-0.026000000000000023,-1,-1,0.05400000000000005,-83.0,-7.992999999999995,-27.0,14.0,-0.020999999999999963,3.0,27.0,-0.016000000000000014,-32.0,9.0,-0.05800000000000005,-9.0,-1.1029999999999998,52.0,0.20300000000000296,43.0,-0.8999999999999986,17.0,-0.5210000000000008,74.0,2.067,35.0,0.9209999999999998,34.0,0.2530000000000001,36.0,-0.03999999999999915,1
