year,team,seed,wins,losses,cwins,closses
2013,Indiana,1,27,6,14,4
2013,Louisville,1,29,5,14,4
2013,Kansas,1,29,5,14,4
2013,Gonzaga,1,31,2,16,0
2013,Miami (FL),2,27,6,15,3
2013,Duke,2,27,5,14,4
2013,Georgetown,2,25,6,14,4
2013,Ohio State,2,26,7,13,5
2013,Marquette,3,23,8,14,4
2013,Michigan State,3,25,8,13,5
2013,Florida,3,26,7,14,4
2013,New Mexico,3,29,5,13,3
2013,Syracuse,4,26,9,11,7
2013,Saint Louis,4,27,6,13,3
2013,Michigan,4,26,7,12,6
2013,Kansas State,4,27,7,14,4
2013,UNLV,5,25,9,10,6
2013,Oklahoma State,5,24,8,13,5
2013,VCU,5,26,8,12,4
2013,Wisconsin,5,23,11,12,6
2013,Butler,6,26,8,11,5
2013,Memphis,6,30,4,16,1
2013,UCLA,6,25,9,13,5
2013,Arizona,6,25,7,12,6
2013,Illinois,7,22,12,8,10
2013,Creighton,7,27,7,13,5
2013,San Diego State,7,22,10,9,7
2013,Notre Dame,7,25,9,11,7
2013,NC State,8,24,10,11,7
2013,Colorado State,8,25,8,11,5
2013,North Carolina,8,24,10,12,6
2013,Pittsburgh,8,24,8,12,6
2013,Temple,9,23,9,11,5
2013,Missouri,9,23,10,11,7
2013,Villanova,9,20,13,10,8
2013,Wichita State,9,26,8,12,6
2013,Colorado,10,21,11,10,8
2013,Cincinnati,10,22,11,9,9
2013,Oklahoma,10,20,11,11,7
2013,Iowa State,10,22,11,11,7
2013,Bucknell,11,28,5,12,2
2013,Middle Tennessee State,11,28,5,19,1
2013,Saint Mary's,11,27,6,14,2
2013,Minnesota,11,20,12,8,10
2013,Belmont,11,26,6,14,2
2013,California,12,20,11,12,6
2013,Oregon,12,26,8,12,6
2013,Akron,12,26,6,14,2
2013,Ole Miss,12,26,8,12,6
2013,Montana,13,25,6,19,1
2013,New Mexico State,13,24,10,14,4
2013,South Dakota State,13,25,9,13,3
2013,La Salle,13,21,9,11,5
2013,Boise State,13,21,10,9,7
2013,Davidson,14,26,7,17,1
2013,Valparaiso,14,26,7,13,3
2013,Northwestern State,14,23,8,15,3
2013,Harvard,14,19,9,11,3
2013,Pacific,15,22,12,13,5
2013,Albany,15,24,10,9,7
2013,Florida Gulf Coast,15,24,10,13,5
2013,Iona,15,20,13,11,7
2013,James Madison,16,20,14,11,7
2013,Long Island,16,20,13,12,6
2013,North Carolina A&T,16,19,16,8,8
2013,Liberty,16,15,20,6,10
2013,Western Kentucky,16,20,15,10,10
2013,Southern,16,23,9,15,3
