year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2012,Kentucky,3095,1096,2248,225,595,678,938,459,1033,1491,531,242,343,453,590
2012,North Carolina,3091,1134,2473,194,580,629,922,535,1085,1620,657,259,219,454,550
2012,Ohio State,2913,1057,2220,199,597,600,846,440,943,1383,568,281,125,458,630
2012,Oakland,2875,947,2103,335,895,646,877,347,782,1129,476,232,75,430,655
2012,Kansas,2867,1023,2168,222,643,597,863,405,999,1404,585,285,222,506,677
2012,Massachusetts,2847,1016,2339,288,825,527,783,446,903,1349,565,326,176,545,758
2012,Oregon State,2841,995,2093,221,616,630,931,378,804,1181,567,328,166,502,673
2012,Baylor,2839,1004,2148,259,677,572,759,423,879,1302,568,285,178,521,673
2012,Belmont,2831,975,2023,309,816,571,778,361,829,1190,606,252,81,429,629
2012,Missouri,2814,981,1946,293,738,559,730,294,762,1056,565,285,97,358,499
2012,New Mexico State,2812,970,2045,165,506,707,1056,488,892,1380,497,243,154,534,630
2012,Florida,2808,976,2107,357,940,499,700,372,844,1216,551,233,124,411,575
2012,Indiana,2782,949,1928,229,531,655,858,345,825,1170,487,233,115,462,632
2012,Creighton,2772,975,1935,287,677,535,736,304,886,1190,615,169,82,421,589
2012,Long Island,2769,920,1940,224,606,704,964,346,848,1194,500,206,113,541,530
2012,UNC Asheville,2745,920,1907,223,629,682,893,355,760,1114,566,283,88,456,611
2012,Syracuse,2740,1006,2155,234,667,495,709,417,795,1212,563,330,261,389,573
2012,Iona,2736,1021,2033,254,656,440,617,318,760,1078,638,241,71,414,558
2012,Louisville,2727,963,2280,233,732,568,824,472,972,1443,529,353,193,561,703
2012,Brigham Young,2727,977,2098,233,678,540,771,337,917,1253,597,295,154,472,636
2012,NC State,2697,977,2133,198,554,545,774,423,895,1318,576,248,149,469,620
2012,Pittsburgh,2692,981,2163,247,707,483,691,478,844,1321,592,182,103,495,669
2012,South Dakota State,2689,918,1963,284,728,569,783,322,783,1105,500,235,65,369,567
2012,UNLV,2671,945,2059,291,799,496,733,377,873,1249,612,298,169,466,601
2012,Stanford,2657,938,2102,252,662,529,791,399,872,1270,475,242,125,511,714
2012,Michigan State,2651,960,2011,200,553,531,760,393,936,1329,567,265,157,478,647
2012,Lehigh,2648,902,2030,254,726,590,768,347,818,1164,456,269,106,392,627
2012,Washington,2646,966,2157,217,633,495,795,466,864,1330,475,233,138,458,691
2012,Marquette,2638,919,2032,201,595,599,831,382,816,1198,580,305,122,461,619
2012,Virginia Military,2631,892,2006,283,888,564,784,307,700,1007,438,272,124,438,618
2012,Duke,2628,874,1914,274,739,606,864,377,806,1182,423,210,136,411,625
2012,Vanderbilt,2615,885,1921,307,792,538,770,343,819,1162,452,214,144,478,579
2012,Memphis,2614,933,1899,185,511,563,782,297,832,1129,504,279,196,443,665
2012,Ohio,2597,901,2107,278,809,517,749,406,762,1167,488,346,104,482,723
2012,Detroit-Mercy,2597,903,2008,165,554,626,858,394,767,1161,464,272,165,450,684
2012,Mercer,2589,899,1966,264,729,527,734,348,863,1211,519,259,181,567,721
2012,Lamar,2573,902,2087,153,454,616,855,457,859,1316,448,284,153,421,602
2012,Davidson,2571,879,1969,255,760,558,730,371,817,1187,455,184,116,388,673
2012,Minnesota,2569,915,1979,203,571,536,769,372,846,1218,573,268,186,555,703
2012,San Francisco,2563,906,1945,239,681,512,743,319,752,1070,470,285,64,441,604
2012,Iowa,2555,902,1982,201,539,550,763,367,767,1134,520,261,119,432,582
2012,Utah State,2551,896,1888,208,567,551,766,310,872,1182,497,146,119,449,664
2012,Wichita State,2545,912,1892,230,620,491,656,332,861,1193,485,209,129,400,550
2012,New Mexico,2545,876,1898,264,699,529,748,360,894,1253,573,239,117,467,609
2012,Xavier,2543,899,1986,176,502,569,819,344,867,1210,470,217,134,455,661
2012,Texas-Arlington,2537,842,1884,229,647,624,888,401,834,1234,442,258,123,530,632
2012,Robert Morris,2532,844,2020,240,682,604,862,472,753,1224,493,308,90,508,763
2012,Oregon,2527,883,1884,246,658,515,725,321,767,1087,485,205,120,437,583
2012,Cincinnati,2522,924,2194,260,763,414,642,446,801,1246,477,299,170,403,569
2012,Washington State,2521,860,1836,228,623,573,808,304,829,1133,505,178,103,486,641
2012,Purdue,2514,889,2019,284,753,452,689,338,740,1077,470,226,110,305,618
2012,Long Beach State,2510,880,1880,221,618,529,789,362,795,1156,476,244,92,440,527
2012,Western Carolina,2503,885,2090,263,748,470,681,418,741,1159,380,284,107,457,667
2012,Toledo,2502,871,1918,217,590,540,750,331,775,1106,461,247,80,483,601
2012,Iowa State,2490,847,1888,293,786,503,731,346,850,1196,484,196,96,419,545
2012,Norfolk State,2482,870,1978,198,635,544,830,377,841,1217,432,239,166,538,701
2012,La Salle,2478,898,1937,265,653,417,578,300,783,1083,496,275,114,440,588
2012,Weber State,2473,824,1797,285,728,538,661,255,782,1036,424,178,78,341,578
2012,Marshall,2472,895,2052,203,649,478,780,501,814,1315,443,213,132,457,707
2012,Texas,2470,836,1927,197,601,601,819,408,740,1148,419,231,125,425,659
2012,Saint Mary's,2467,857,1811,245,713,508,697,363,809,1172,521,227,102,383,527
2012,Oral Roberts,2467,864,1785,182,506,555,745,329,679,1008,459,222,91,436,572
2012,Nevada,2461,842,1871,236,642,541,832,383,826,1209,450,197,167,480,568
2012,Middle Tennessee State,2459,882,1782,163,445,532,838,342,781,1122,527,237,149,472,668
2012,Akron,2456,868,1879,207,560,513,741,372,775,1146,475,246,141,483,614
2012,Albany,2453,842,1888,245,673,524,693,377,738,1114,424,193,95,429,575
2012,VCU,2448,837,2041,267,802,507,738,405,740,1144,431,378,130,409,646
2012,Saint Joseph's,2446,876,1862,226,622,468,676,300,855,1155,493,163,243,428,517
2012,Florida State,2443,877,1923,216,611,473,669,369,823,1191,428,265,213,568,651
2012,Illinois State,2439,804,1832,297,783,534,708,306,901,1206,459,177,119,421,587
2012,Portland State,2438,846,1750,185,530,561,761,296,740,1036,370,170,90,431,539
2012,Rice,2438,859,1920,195,572,526,766,295,885,1179,513,257,159,474,617
